 8XX 500 802 200 600.00   0.00 CS 000   7
 -27.1700-109.5000  3
 -27.1600-109.4000  2
 -27.1200-109.3800  2
 -27.0800-109.4100  2
 -27.0700-109.4500  2
 -27.0500-109.4900  2
 -27.1300-109.5300  2
 -27.1700-109.5400  2
 -71.5900 170.2100  2
 -71.7600 170.3900  2
 -71.9100 170.4900  2
 -72.0300 170.2800  2
 -72.0800 169.9800  2
 -72.1400 169.6900  2
 -72.3000 169.9100  2
 -72.4300 169.9200  2
 -72.6600 169.8600  2
 -72.8700 169.5700  2
 -73.0100 169.3400  2
 -73.1300 169.0800  2
 -73.2400 168.8000  2
 -73.3600 168.3900  2
 -73.4500 168.0600  2
 -73.4900 167.6200  2
 -73.7200 167.0300  2
 -73.9200 166.8800  2
 -74.1000 166.6300  2
 -74.2800 166.2300  2
 -74.3100 165.5800  2
 -74.2700 164.9600  2
 -74.3000 164.9100  2
 -74.4100 165.1400  2
 -74.5600 165.3400  2
 -74.6700 165.4400  2
 -74.6500 164.7500  2
 -74.7500 164.1500  2
 -74.9200 163.8500  2
 -75.1000 163.4300  2
 -75.2600 163.5100  2
 -75.4700 163.8800  2
 -75.5500 164.3700  2
 -75.6300 164.2400  2
 -75.5800 163.4400  2
 -75.5300 162.7000  2
 -75.5900 162.7200  2
 -75.6600 162.8900  2
 -75.8400 162.4500  2
 -75.9600 162.5700  2
 -76.1200 162.8500  2
 -76.1600 163.4600  2
 -76.3000 163.1600  2
 -76.3500 162.6500  2
 -76.4000 162.7900  2
 -76.5800 162.6700  2
 -76.7200 162.6400  2
 -76.8800 162.7800  2
 -76.9400 162.4500  2
 -76.9600 162.3000  2
 -77.0100 162.5300  2
 -77.1200 163.1100  2
 -77.2700 163.0400  2
 -77.3600 163.2600  2
 -77.4600 163.4700  2
 -77.6000 163.4500  2
 -77.7200 163.9300  2
 -77.8100 164.4100  2
 -77.9500 164.5400  2
 -77.8800 165.0200  2
 -77.8800 165.2300  2
 -77.8600 165.9900  2
 -77.7900 166.2900  2
 -77.7400 166.1100  2
 -77.6400 165.5100  2
 -77.4800 165.8600  2
 -77.3300 166.1900  2
 -77.2100 166.2200  2
 -77.1400 166.3900  2
 -77.1400 166.6400  2
 -77.2200 166.9100  2
