 9050001 402 137 250   0 BS 000 2
  74.08 141.05 2
  74.10 140.92 2
  74.14 140.95 2
  73.89 141.33 3
  73.89 141.34 2
  73.89 141.41 2
  73.90 141.52 2
  73.92 141.64 2
  73.93 141.77 2
  73.92 141.95 2
  73.90 142.13 2
  73.85 142.33 2
  73.84 142.50 2
  73.74 142.73 2
  73.70 142.87 2
  73.67 143.06 2
  73.59 143.20 2
  73.53 143.35 2
  73.45 143.42 2
  73.35 143.42 2
  73.28 143.50 2
  73.23 143.51 2
  73.24 143.33 2
  73.23 143.18 2
  73.23 142.94 2
  73.27 142.70 2
  73.27 142.58 2
  73.28 142.40 2
  73.27 142.19 2
  73.31 141.88 2
  73.35 141.75 2
  73.34 141.51 2
  73.36 141.21 2
  73.42 140.89 2
  73.44 140.54 2
  73.40 140.28 2
  73.41 139.71 3
  73.44 139.65 2
  73.47 139.79 2
  73.47 140.05 2
  73.48 140.31 2
  73.52 140.40 2
  73.61 140.54 2
  73.69 140.63 2
  73.77 140.74 2
  73.83 140.76 2
  73.88 140.84 2
  73.89 140.95 2
  73.88 141.12 2
  73.89 141.25 2
  73.89 141.33 2
  74.06 136.01 3
  74.04 136.01 2
  74.02 136.07 2
  74.00 136.18 2
  73.95 136.26 2
  73.89 136.22 2
